path,round,active_nibbles,generation_command,beam,trans,branch,certified_only,row_count,sha256,used_in_final_submit
experiments/r2_active3_near_100150_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,4,073824819c454cb8c837bb572acf225dc9e0da5a8a00508472f265a5abe21a94,1
experiments/r2_active3_near_100170_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2,3270f892b0a0e034fbc1367364f8637e25c2095c1b8b6b6d3aff29b889dc3eb5,1
experiments/r2_active3_near_100190_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2,93941a40b9f592f834412fc501f5ad55f22c6a506387fdc2dae1fb09c0e16587,1
experiments/r2_active3_near_100230_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,4,a0f8fb5f632b30c579784c2ef9448f1b22441101cab7eb2bf9190de9b3ae5674,1
experiments/r2_active3_near_100270_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,8,38532b5b30599a0171d385f22beae2c5c1781a6ecef6c3e50b85a4fd2b0390b7,1
experiments/r2_active3_near_100290_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2,e3fa65f6966140efd4dcb7af24b9e58466c8455c67cb55d5a1478ef85263fda3,1
experiments/r2_active3_near_14950_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,23,2b5999b91c78921f5a5c49ea88d2aad57375f0fef1685d5639a2761b4ad9cabe,1
experiments/r2_active3_near_14970_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,68,d7d7a7a7847dc69311feb108be5c9a98c6a0655a65198c86c9954472580e0f5a,1
experiments/r2_active3_near_15010_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,62,81e4253423e98814626d0febfea836d3f00de88dbd06050a0b44d495ba9a9d1b,1
experiments/r2_active3_near_15030_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,24,f0e03649e9f7a59e619f913448808f479d27b0d28429aa2b812d11890efebb16,1
experiments/r2_active3_near_15050_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,10,59e89362690aac7090947913440562f02c3f87d8768a4a5b0e3f1343e42e8f58,1
experiments/r2_active3_near_15070_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,4,2e8a080750d5ba5f18c74d067dc8508a46c3dc407b1baeefc84994c428c59288,1
