row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ138309,3,0xf0000000,0xf11e0606,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138310,3,0xf0000000,0xf11e0a0a,6597069766656,48,"6597069766656/2^48","100663296"
FQ138311,3,0xf0000000,0xf11e0e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138312,3,0xf0000000,0xf11e0f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ138313,3,0xf0000000,0xf22d0808,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138314,3,0xf0000000,0xf33c0303,6597069766656,48,"6597069766656/2^48","100663296"
FQ138315,3,0xf0000000,0xf44b0404,8796093022208,48,"8796093022208/2^48","134217728"
FQ138316,3,0xf0000000,0xf55a0505,8796093022208,48,"8796093022208/2^48","134217728"
FQ138317,3,0xf0000000,0xf55a0707,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138318,3,0xf0000000,0xf55a0a0a,6597069766656,48,"6597069766656/2^48","100663296"
FQ138319,3,0xf0000000,0xf55a0f0f,10995116277760,48,"10995116277760/2^48","167772160"
FQ138320,3,0xf0000000,0xf6690101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138321,3,0xf0000000,0xf6690606,6597069766656,48,"6597069766656/2^48","100663296"
FQ138322,3,0xf0000000,0xf7780505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138323,3,0xf0000000,0xf7780707,6597069766656,48,"6597069766656/2^48","100663296"
FQ138324,3,0xf0000000,0xf8870202,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138325,3,0xf0000000,0xf8870a0a,8796093022208,48,"8796093022208/2^48","134217728"
FQ138326,3,0xf0000000,0xf8870f0f,13194139533312,48,"13194139533312/2^48","201326592"
FQ138327,3,0xf0000000,0xfaa50101,6597069766656,48,"6597069766656/2^48","100663296"
FQ138328,3,0xf0000000,0xfaa50505,6597069766656,48,"6597069766656/2^48","100663296"
FQ138329,3,0xf0000000,0xfaa50808,8796093022208,48,"8796093022208/2^48","134217728"
FQ138330,3,0xf0000000,0xfbb40b0b,6597069766656,48,"6597069766656/2^48","100663296"
FQ138331,3,0xf0000000,0xfcc30c0c,8796093022208,48,"8796093022208/2^48","134217728"
FQ138332,3,0xf0000000,0xfdd20f0f,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138333,3,0xf0000000,0xfee10101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138334,3,0xf0000000,0xfee10e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ138335,3,0xf0000000,0xfff00101,6597069766656,48,"6597069766656/2^48","100663296"
FQ138336,3,0xf0000000,0xfff00505,10995116277760,48,"10995116277760/2^48","167772160"
FQ138337,3,0xf0000000,0xfff00808,13194139533312,48,"13194139533312/2^48","201326592"
FQ138338,3,0xf0000000,0xfff00d0d,-6597069766656,48,"-6597069766656/2^48","-100663296"
