row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ129273,3,0x00f00000,0x07770f08,5497558138880,48,"5497558138880/2^48","83886080"
FQ129274,3,0x00f00000,0x08880007,5497558138880,48,"5497558138880/2^48","83886080"
FQ129275,3,0x00f00000,0x0888000f,-7696581394432,48,"-7696581394432/2^48","-117440512"
FQ129276,3,0x00f00000,0x08880108,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129277,3,0x00f00000,0x08880109,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129278,3,0x00f00000,0x08880508,6597069766656,48,"6597069766656/2^48","100663296"
FQ129279,3,0x00f00000,0x0888050d,6597069766656,48,"6597069766656/2^48","100663296"
FQ129280,3,0x00f00000,0x08880608,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129281,3,0x00f00000,0x0888060e,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129282,3,0x00f00000,0x08880901,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129283,3,0x00f00000,0x08880908,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129284,3,0x00f00000,0x08880d05,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129285,3,0x00f00000,0x08880d08,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129286,3,0x00f00000,0x08880e06,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129287,3,0x00f00000,0x08880e08,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129288,3,0x00f00000,0x08880f07,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ129289,3,0x00f00000,0x08880f08,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ129290,3,0x00f00000,0x09990004,6597069766656,48,"6597069766656/2^48","100663296"
FQ129291,3,0x00f00000,0x09990008,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129292,3,0x00f00000,0x0999030d,5497558138880,48,"5497558138880/2^48","83886080"
FQ129293,3,0x00f00000,0x0999030e,5497558138880,48,"5497558138880/2^48","83886080"
FQ129294,3,0x00f00000,0x0999060b,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129295,3,0x00f00000,0x0999060d,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129296,3,0x00f00000,0x09990f06,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129297,3,0x00f00000,0x09990f09,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129298,3,0x00f00000,0x0bbb0004,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129299,3,0x00f00000,0x0bbb0409,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129300,3,0x00f00000,0x0bbb040d,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129301,3,0x00f00000,0x0bbb0a01,4947802324992,48,"4947802324992/2^48","75497472"
FQ129302,3,0x00f00000,0x0bbb0a0b,4947802324992,48,"4947802324992/2^48","75497472"
FQ129303,3,0x00f00000,0x0ddd0004,6597069766656,48,"6597069766656/2^48","100663296"
FQ129304,3,0x00f00000,0x0ddd0008,6597069766656,48,"6597069766656/2^48","100663296"
FQ129305,3,0x00f00000,0x0ddd000e,5497558138880,48,"5497558138880/2^48","83886080"
FQ129306,3,0x00f00000,0x0ddd0209,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129307,3,0x00f00000,0x0ddd020b,-4947802324992,48,"-4947802324992/2^48","-75497472"
FQ129308,3,0x00f00000,0x0ddd0709,5497558138880,48,"5497558138880/2^48","83886080"
FQ129309,3,0x00f00000,0x0ddd070e,5497558138880,48,"5497558138880/2^48","83886080"
FQ129310,3,0x00f00000,0x0ddd0b06,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129311,3,0x00f00000,0x0ddd0b0d,-5497558138880,48,"-5497558138880/2^48","-83886080"
FQ129312,3,0x00f00000,0x0eee0004,8796093022208,48,"8796093022208/2^48","134217728"
FQ129313,3,0x00f00000,0x0eee0008,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ129314,3,0x00f00000,0x0eee000e,6597069766656,48,"6597069766656/2^48","100663296"
FQ129315,3,0x00f00000,0x0eee010e,6597069766656,48,"6597069766656/2^48","100663296"
