n_nibbles,rounds,u,v,exact,dp,abs_err,rel_err,match,sign_flip_suspect,transpose_like_suspect
4,1,0x44cb,0x176c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x976a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0656,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0772,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2ef1,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd3ba,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3aee,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x147d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6037,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7ab1,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd78f,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x52f4,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3b2a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe6dd,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x55b3,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7b9b,0.03125,0.03125,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5161,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x34a6,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xdec5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc1ad,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x968a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x81be,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xf43a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa100,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3344,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6a4c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa284,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1449,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0df5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0561,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9752,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa3f7,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe652,0,0,0.000000e+00,0.000000e+00,1,0,0
