r,u
2,0x000fe000
2,0x000ff000
2,0x00100000
2,0x00100001
2,0x00100003
2,0x00100004
2,0x00100005
2,0x00100006
2,0x00100008
2,0x00100009
2,0x0010000a
2,0x0010000b
2,0x0010000c
2,0x0010000d
2,0x0010000e
2,0x00100100
2,0x00100200
2,0x00100300
2,0x00100400
2,0x00100500
2,0x00100600
2,0x00100700
2,0x00100800
2,0x00100900
2,0x00100a00
2,0x00100b00
2,0x00100c00
2,0x00100d00
2,0x00100e00
2,0x00100f00
2,0x00101000
2,0x00102000
2,0x00103000
2,0x00104000
2,0x00105000
2,0x00106000
2,0x00107000
2,0x00108000
2,0x00109000
2,0x0010a000
2,0x0010b000
2,0x0010c000
2,0x0010d000
2,0x0010e000
2,0x0010f000
2,0x00200000
2,0x00200002
2,0x00200004
2,0x00200006
2,0x00200009
2,0x0020000b
2,0x0020000d
2,0x0020000f
2,0x00200100
2,0x00200200
2,0x00200300
2,0x00200400
2,0x00200500
2,0x00200600
2,0x00200700
2,0x00200800
2,0x00200900
2,0x00200a00
2,0x00200b00
2,0x00200c00
2,0x00200d00
2,0x00200e00
2,0x00200f00
2,0x00201000
2,0x00202000
2,0x00203000
2,0x00204000
2,0x00205000
2,0x00206000
2,0x00207000
2,0x00208000
2,0x00209000
2,0x0020a000
2,0x0020b000
2,0x0020c000
2,0x0020d000
2,0x0020e000
2,0x0020f000
2,0x00300000
2,0x00300001
2,0x00300003
2,0x00300004
2,0x00300006
2,0x00300008
2,0x00300009
2,0x0030000a
2,0x0030000b
2,0x0030000c
2,0x0030000d
2,0x0030000e
2,0x00300100
2,0x00300200
2,0x00300300
2,0x00300400
2,0x00300500
2,0x00300600
2,0x00300700
2,0x00300800
2,0x00300900
2,0x00300a00
2,0x00300b00
2,0x00300c00
2,0x00300d00
2,0x00300e00
2,0x00300f00
2,0x00301000
2,0x00302000
2,0x00303000
2,0x00304000
2,0x00305000
2,0x00306000
2,0x00307000
2,0x00308000
2,0x00309000
2,0x0030a000
2,0x0030b000
2,0x0030c000
2,0x0030d000
2,0x0030e000
2,0x0030f000
2,0x00400000
2,0x00400001
2,0x00400002
2,0x00400003
2,0x00400004
2,0x00400005
2,0x00400006
2,0x00400007
2,0x00400008
2,0x00400009
2,0x0040000a
2,0x0040000c
2,0x0040000d
2,0x0040000e
2,0x00400100
2,0x00400200
2,0x00400300
2,0x00400400
2,0x00400500
2,0x00400600
2,0x00400700
2,0x00400800
2,0x00400900
2,0x00400a00
2,0x00400b00
2,0x00400c00
2,0x00400d00
2,0x00400e00
2,0x00400f00
2,0x00401000
2,0x00402000
2,0x00403000
2,0x00404000
2,0x00405000
2,0x00406000
2,0x00407000
2,0x00408000
2,0x00409000
2,0x0040a000
2,0x0040b000
2,0x0040c000
2,0x0040d000
2,0x0040e000
2,0x0040f000
2,0x00500000
2,0x00500001
2,0x00500004
2,0x00500005
2,0x00500006
2,0x00500007
2,0x00500008
2,0x00500009
2,0x0050000a
2,0x0050000c
2,0x0050000d
2,0x0050000e
2,0x00500100
2,0x00500200
2,0x00500300
2,0x00500400
2,0x00500500
2,0x00500600
2,0x00500700
2,0x00500800
2,0x00500900
2,0x00500a00
2,0x00500b00
2,0x00500c00
2,0x00500d00
2,0x00500e00
2,0x00500f00
2,0x00501000
2,0x00502000
2,0x00503000
2,0x00504000
2,0x00505000
2,0x00506000
2,0x00507000
2,0x00508000
2,0x00509000
2,0x0050a000
2,0x0050b000
2,0x0050c000
2,0x0050d000
2,0x0050e000
2,0x0050f000
2,0x00600000
2,0x00600001
2,0x00600002
2,0x00600003
